,"('adrenal gland', 'cells in zona fasciculata')","('urinary bladder', 'urothelial cells')","('retina', 'nerve fibers in nerve fiber layer')","('soft tissue 1', 'peripheral nerve')","('endometrium 1', 'glandular cells')","('eye', 'lens epithelial cells')","('stomach 1', 'glandular cells')","('lactating breast', 'lactating glandular cells')","('epididymis', 'glandular cells')","('caudate', 'synapses')","('testis', 'Leydig cells')","('testis', 'pachytene spermatocytes')","('choroid plexus', 'ependymal cells')","('parathyroid gland', 'glandular cells')","('small intestine', 'glandular cells')","('testis', 'sertoli cells')","('hypothalamus', 'neuronal cells')","('endometrium 2', 'glandular cells')","('soft tissue 2', 'adipocytes')","('pancreas', 'islets of Langerhans')","('adrenal gland', 'cells in zona glomerulosa')","('eye', 'vitreous humor')","('fallopian tube', 'glandular cells')","('colon', 'peripheral nerve/ganglion')","('pituitary gland', 'cells in posterior ')","('cerebellum', 'cells in granular layer')","('cerebral cortex', 'neuropil')","('retina', 'limiting membrane')","('skin', 'secretory cells')","('retina', 'pigment epithelium')","('caudate', 'neuronal projections')","('cerebellum', 'Purkinje cells')","('appendix', 'lymphoid tissue')","('hippocampus', 'neuronal cells')","('soft tissue 2', 'peripheral nerve')","('testis', 'cells in seminiferous ducts')","('retina', 'cells in inner nuclear layer ')","('retina', 'ganglion cells ')","('skeletal muscle', 'myocytes')","('tonsil', 'germinal center cells')","('testis', 'elongated or late spermatids')","('placenta', 'decidual cells')","('lung', 'macrophages')","('soft tissue 1', 'adipocytes')","('hair', 'cells in internal root sheath')","('cerebral cortex', 'endothelial cells')","('breast', 'adipocytes')","('skin', 'sweat ducts')","('adrenal gland', 'glandular cells')","('oral mucosa', 'squamous epithelial cells')","('heart muscle', 'myocytes')","('endometrium 2', 'cells in endometrial stroma')","('cerebral cortex', 'neuronal cells')","('spleen', 'cells in red pulp')","('skin 1', 'fibroblasts')","('hypothalamus', 'synapses')","('skin 2', 'epidermal cells')","('tonsil', 'non-germinal center cells')","('liver', 'bile duct cells')","('pancreas', 'exocrine glandular cells')","('tonsil', 'squamous epithelial cells')","('cerebral cortex', 'synapses')","('liver', 'hepatocytes')","('eye', 'corneal epithelial cells')","('hippocampus', 'glial cells')","('hypothalamus', 'neuronal projections')","('cerebral cortex', 'neuronal projections')","('sole of foot', 'epidermal cells')","('testis', 'round or early spermatids')","('vagina', 'squamous epithelial cells')","('soft tissue 2', 'fibroblasts')","('eye', 'lens fiber cells')","('lung', 'pneumocytes')","('cervix, uterine', 'squamous epithelial cells')","('hair', 'cells in cuticle')","('smooth muscle', 'smooth muscle cells')","('testis', 'spermatogonia')","('hippocampus', 'neuronal projections')","('gallbladder', 'glandular cells')","('endometrium 1', 'cells in endometrial stroma')","('retina', 'nerve fibers in inner plexiform layer')","('rectum', 'glandular cells')","('hippocampus', 'synapses')","('appendix', 'glandular cells')","('thyroid gland', 'glandular cells')","('placenta', 'trophoblastic cells')","('adrenal gland', 'medullary cells')","('lymph node', 'germinal center cells')","('pituitary gland', 'cells in anterior ')","('esophagus', 'squamous epithelial cells')","('soft tissue 2', 'chondrocytes')","('testis', 'preleptotene spermatocytes')","('salivary gland', 'glandular cells')","('lymph node', 'non-germinal center cells')","('retina', 'cells in photoreceptor layer ')","('colon', 'endothelial cells')","('kidney', 'cells in tubules')","('cerebral cortex', 'glial cells')","('caudate', 'neuronal cells')","('soft tissue 1', 'chondrocytes')","('lactating breast', 'ductal cells')","('kidney', 'cells in glomeruli')","('bone marrow', 'hematopoietic cells')","('thymus', 'medullary cells')","('skin 1', 'keratinocytes')","('breast', 'glandular cells')","('hair', 'cells in cortex/medulla')","('thymus', 'cortical cells')","('seminal vesicle', 'glandular cells')","('skin 1', 'melanocytes')","('bronchus', 'respiratory epithelial cells')","('breast', 'myoepithelial cells')","('retina', 'nerve fibers in outer plexiform layer ')","('skin 1', 'Langerhans')","('skin', 'sebaceous cells')","('adrenal gland', 'cells in zona reticularis')","('testis', 'peritubular cells')","('prostate', 'glandular cells')","('hypothalamus', 'glial cells')","('soft tissue 1', 'fibroblasts')","('hair', 'cells in external root sheath')","('cerebellum', 'cells in molecular layer')","('colon', 'glandular cells')","('cervix, uterine', 'glandular cells')","('stomach 2', 'glandular cells')","('ovary', 'follicle cells')","('spleen', 'cells in white pulp')","('ovary', 'ovarian stroma cells')","('caudate', 'glial cells')","('duodenum', 'glandular cells')","('nasopharynx', 'respiratory epithelial cells')"
CCDC191,0,1,0,0,2,0,2,2,0,0,2,0,3,2,2,3,0,1,0,2,0,0,1,2,0,1,2,0,2,0,0,2,0,2,0,0,0,0,2,0,1,1,2,0,0,0,0,2,0,0,2,0,2,1,0,3,0,0,0,2,0,0,2,0,1,3,3,0,1,1,0,3,0,1,0,0,1,0,2,0,2,2,2,2,2,2,3,0,3,1,2,0,1,0,0,0,2,1,2,2,0,0,1,2,0,1,3,2,2,2,3,1,2,1,0,0,3,0,0,0,0,1,2,1,2,3,0,0,1,2,2
CADPS,0,0,0,0,0,0,1,2,0,0,0,0,3,0,2,3,0,0,0,3,0,0,0,2,0,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,3,0,1,0,0,3,0,0,0,0,1,0,0,0,2,2,2,1,0,0,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,0,0,0,0,2,0,0,0,3,0,0,0,0,2,1,0,2,0,0,0,0,2,0
NKX6-1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,3,0,0,0,0,1,0,0,0,2,0,2,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDS1,0,1,0,0,2,0,2,2,3,0,2,0,3,1,2,3,0,1,1,0,0,0,2,1,0,2,1,0,2,0,0,3,1,1,0,3,0,0,2,0,1,0,2,1,0,1,0,2,0,1,2,0,2,0,1,3,1,0,0,1,1,0,0,0,0,3,3,0,1,0,0,3,0,0,0,1,1,0,1,0,2,1,2,1,1,2,3,0,3,0,0,0,1,1,0,1,1,0,2,0,0,0,0,2,1,0,3,2,1,1,3,0,2,1,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,2,3
WDFY3,0,2,0,0,2,0,2,2,1,0,3,0,3,3,2,3,0,2,0,2,0,0,2,2,0,1,1,0,2,0,0,1,2,1,0,2,0,0,1,3,1,2,2,1,0,1,1,2,0,2,1,1,1,1,1,3,2,2,1,3,2,0,2,0,1,3,3,0,1,2,0,3,2,2,0,1,1,0,2,2,2,2,2,2,2,2,3,2,3,2,0,0,2,1,0,1,2,1,1,0,0,0,1,2,1,2,3,2,1,1,2,2,2,1,0,0,3,2,0,0,0,1,2,1,2,0,2,1,1,3,2
COX18,0,2,0,0,2,0,2,2,2,0,2,0,3,2,2,3,0,2,0,0,0,0,1,3,0,2,1,0,2,0,0,2,2,2,1,2,0,0,2,1,1,2,2,1,0,1,0,2,0,2,2,0,2,0,1,3,2,0,0,2,2,0,2,0,2,3,3,0,1,1,1,3,1,2,0,2,1,0,2,1,2,2,2,2,2,1,3,0,3,2,0,0,1,0,0,2,2,2,2,0,0,1,0,2,2,2,3,2,1,1,2,1,2,1,0,0,3,2,0,0,0,2,2,2,2,2,0,0,2,2,2
PTPN13,0,3,0,0,3,0,3,2,3,0,2,0,3,2,3,3,0,3,0,2,0,0,3,3,0,3,0,0,2,0,0,3,3,3,1,3,0,0,0,3,1,2,1,0,0,1,0,2,0,2,0,0,3,2,1,3,3,2,0,3,2,0,0,0,0,3,3,0,1,2,0,3,2,2,0,0,1,0,3,0,2,3,2,3,1,3,3,3,3,2,0,0,2,2,0,0,2,0,3,1,0,0,3,2,0,2,3,2,3,0,2,1,2,0,0,0,3,3,0,0,0,3,3,3,3,1,3,0,1,3,3
SYNPR,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,3,0,0,0,0,1,0,0,0,2,0,2,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,0,2,0,0,1,0,1,2,1,0,0,0,3,2,0,3,0,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,2,0,0,0,1,1,0,2,0,0,1,0,2,0,1,0,0,0,0,2,3,2,0,0,2,0,0,2,0,1,3,3,0,1,1,0,3,2,0,0,0,1,0,2,1,2,0,2,1,0,2,3,0,3,1,0,0,1,1,0,2,2,0,0,3,0,0,2,2,1,2,3,2,0,2,2,2,2,1,0,0,3,0,0,0,0,1,0,2,1,0,0,0,0,1,1
THOC7,0,2,0,2,2,0,2,2,2,0,2,0,3,2,3,3,0,2,2,1,0,0,3,2,0,1,1,0,2,0,0,2,2,1,2,2,0,0,0,2,1,0,2,0,0,2,2,2,0,2,0,1,2,2,2,3,2,2,0,2,2,0,0,0,1,3,3,0,1,2,2,3,1,0,0,2,1,0,3,1,2,2,2,2,2,2,3,2,3,2,0,0,2,2,0,2,2,2,2,3,0,1,1,2,2,2,3,2,2,2,2,2,2,2,0,0,3,2,0,2,0,2,2,2,2,0,2,1,2,3,2
PSMD6,0,2,0,1,3,0,3,2,2,0,3,0,3,3,3,3,0,3,2,2,0,0,2,2,0,2,1,0,2,0,0,3,2,3,0,3,0,0,2,2,1,2,2,2,0,1,2,2,0,2,2,2,2,0,2,3,2,3,0,3,2,0,3,0,1,3,3,0,1,2,2,3,1,2,0,2,1,0,3,2,2,3,2,3,2,2,3,2,3,3,2,0,3,3,0,2,3,2,3,3,0,0,2,2,2,3,3,2,2,2,2,2,2,2,0,0,3,3,0,2,0,2,3,2,3,0,3,0,1,3,2
ADAMTS9,0,2,0,2,1,0,2,2,1,0,2,0,3,2,2,3,0,1,1,0,0,0,1,2,0,0,1,0,2,0,0,0,0,0,2,1,0,0,2,0,1,2,1,1,0,0,0,2,0,0,1,1,0,0,0,3,1,0,1,2,0,0,1,0,0,3,3,0,1,0,1,3,1,1,0,0,1,0,2,1,2,1,2,0,1,1,3,0,3,1,2,0,1,0,0,2,2,0,0,3,0,1,1,2,0,1,3,2,1,1,2,1,2,0,0,0,3,0,0,1,0,0,2,0,1,1,0,0,0,2,2
PPM1K,0,2,0,2,2,0,2,2,1,0,2,0,3,2,2,3,0,2,1,2,0,0,2,2,0,2,2,0,2,0,0,2,1,2,2,1,0,0,2,2,1,2,1,1,0,0,0,2,0,2,2,0,2,1,1,3,2,2,0,2,2,0,0,0,0,3,3,0,1,2,0,3,2,2,0,1,1,0,2,1,2,2,2,2,2,2,3,0,3,2,2,0,2,2,0,0,2,1,2,0,0,0,1,2,1,3,3,2,2,2,2,2,2,1,0,0,3,2,0,0,0,2,2,2,2,3,2,0,1,2,2
ERICH6,0,0,0,2,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,2,0,0,3,0,0,0,2,0,2,0,0,0,3,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIPARP,0,2,0,3,1,0,3,2,2,0,2,0,3,0,2,0,0,1,2,2,0,0,3,3,0,2,3,0,2,0,0,2,2,2,3,2,0,0,0,2,0,2,3,2,0,2,3,2,0,2,1,0,2,0,2,3,2,2,1,3,2,0,0,0,1,3,3,0,0,2,2,3,1,2,0,2,3,0,3,2,2,2,2,2,2,2,3,2,3,2,2,3,2,1,0,2,3,2,1,0,0,3,1,2,1,2,3,2,1,3,3,2,2,2,0,0,0,2,0,2,0,1,2,1,1,0,0,2,1,2,3
PTX3,0,0,0,3,1,0,1,2,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,3,0,0,0,2,3,0,0,0,2,2,2,2,0,0,3,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,2,2,0,1,3,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,2,0
HESX1,0,3,0,2,1,0,3,2,2,0,2,0,3,2,2,0,0,3,2,2,0,0,3,2,0,1,2,0,2,0,0,2,2,1,2,3,0,0,2,1,0,3,1,2,0,2,3,2,0,3,0,1,3,0,2,3,3,2,0,3,2,0,1,0,1,3,3,0,0,3,2,3,2,3,0,2,3,0,3,1,2,3,2,3,3,3,3,2,3,3,2,3,3,2,0,2,3,2,0,2,0,3,2,2,3,1,3,2,2,3,3,1,2,3,0,0,0,2,0,2,0,2,3,3,2,3,0,1,1,3,3
DCLK3,0,0,0,0,0,0,2,2,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,3,0,2,1,0,1,0,1,0,0,3,3,0,0,1,0,3,0,1,0,0,3,0,0,0,2,0,2,0,1,2,3,2,3,0,2,3,1,0,0,0,2,0,0,0,0,0,0,2,0,0,3,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0
SLMAP,0,1,0,0,0,0,1,2,1,0,0,0,3,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,3,0,0,0,3,0,0,2,0,0,1,0,0,0,1,0,2,0,0,3,0,2,0,0,3,1,0,0,1,1,0,0,0,1,3,3,0,0,0,0,3,0,0,0,3,3,0,1,0,2,1,2,1,1,1,3,1,3,0,2,3,1,0,0,2,0,1,0,0,0,0,2,2,1,0,3,2,3,1,0,2,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0
RPL9,0,2,0,0,2,0,3,2,2,0,1,0,3,1,2,0,0,1,1,1,0,0,2,0,0,0,0,0,2,0,0,3,2,3,0,0,0,0,1,2,0,2,1,1,0,0,1,2,0,2,1,0,3,1,2,3,2,0,1,3,2,0,0,0,0,3,3,0,0,1,1,3,0,1,0,1,3,0,2,0,2,2,2,2,2,2,3,2,3,1,2,3,2,1,0,1,1,0,3,0,0,0,3,2,1,2,3,2,3,1,2,2,2,0,0,0,0,2,0,2,0,2,2,1,3,1,1,1,0,2,1
SMIM14,0,2,0,0,2,0,2,2,2,0,2,0,3,2,2,0,0,2,0,2,0,0,2,2,0,0,0,0,2,0,0,1,1,2,0,2,0,0,1,2,0,2,1,0,0,0,0,2,0,2,1,0,2,2,0,3,2,2,0,2,2,0,1,0,0,3,3,0,0,0,0,3,0,1,0,2,3,0,2,1,2,2,2,2,2,2,3,2,3,1,2,3,1,2,0,1,2,0,2,0,0,0,2,2,2,2,3,2,2,0,2,1,2,0,0,0,0,1,0,1,0,0,2,1,2,1,1,1,0,2,1
ABHD6,0,2,0,0,1,0,1,2,2,0,2,0,3,2,2,0,0,0,0,2,0,0,1,1,0,1,1,0,2,0,0,2,1,2,1,2,0,0,2,2,0,2,2,1,0,1,0,2,0,2,2,0,2,1,2,3,2,2,0,1,2,0,1,0,2,3,3,0,0,2,1,3,1,2,0,2,3,0,1,0,2,1,2,1,1,2,3,2,3,2,2,3,1,2,0,1,2,2,2,1,0,1,2,2,2,1,3,2,2,2,2,0,2,2,0,0,0,1,0,0,0,2,1,1,2,2,0,0,2,2,2
DNASE1L3,0,2,0,2,0,0,1,2,2,0,2,0,3,2,2,0,0,1,2,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,2,2,0,0,0,1,0,2,2,2,0,0,2,2,0,1,2,0,0,2,2,3,2,2,2,0,2,0,2,0,0,3,3,0,0,1,2,3,2,2,0,2,3,0,2,0,2,2,2,2,2,2,3,1,3,2,2,3,2,2,0,3,2,0,0,1,0,2,2,2,2,2,3,2,2,2,2,2,2,2,0,0,0,2,0,2,0,0,2,1,2,2,1,2,0,2,2
RBM47,0,2,0,2,0,0,3,2,2,0,2,0,3,1,3,0,0,1,0,1,0,0,2,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,1,2,0,0,0,0,2,0,0,2,0,1,1,0,3,0,0,0,0,1,0,2,0,0,3,3,0,0,0,0,3,2,0,0,0,3,0,3,0,2,3,2,2,2,3,3,0,3,0,2,3,2,0,0,0,2,0,0,0,0,0,1,2,0,1,3,2,1,0,3,0,2,0,0,0,0,2,0,0,0,0,3,2,3,2,0,0,0,3,3
APBB2,0,2,0,2,2,0,2,2,1,0,3,0,3,2,2,0,0,2,2,2,0,0,2,1,0,2,1,0,2,0,0,2,2,2,0,2,0,0,2,3,0,1,2,0,0,0,0,2,0,1,2,1,1,2,1,3,2,2,2,3,2,0,2,0,1,3,3,0,0,1,0,3,2,2,0,1,3,0,2,1,2,2,2,2,2,2,3,2,3,2,2,3,1,2,0,1,3,2,1,0,0,0,2,2,0,2,3,2,2,1,2,1,2,0,0,0,0,2,0,1,0,1,2,2,2,3,2,1,1,2,2
IL17RE,0,1,0,1,0,0,1,2,2,0,2,0,3,0,2,0,0,0,0,1,0,0,2,1,0,0,1,0,2,0,0,3,0,0,1,2,0,0,2,1,0,2,2,0,0,1,0,2,0,0,2,0,0,1,1,3,1,2,0,2,2,0,1,0,0,3,3,0,0,1,2,3,0,1,0,0,3,0,2,0,2,2,2,1,2,2,3,0,3,1,2,3,1,1,0,0,2,0,0,1,0,3,1,2,1,1,3,2,0,1,2,1,2,1,0,0,0,0,0,1,0,0,2,2,2,2,0,0,0,0,3
IL17RC,0,0,0,2,0,0,1,2,2,0,2,0,3,3,2,0,0,2,1,2,0,0,0,2,0,0,1,0,2,0,0,2,1,2,2,0,0,0,2,3,0,1,2,0,0,1,1,2,0,2,3,0,1,1,1,3,2,2,0,1,2,0,1,0,1,3,3,0,0,2,1,3,1,1,0,0,3,0,2,0,2,2,2,1,3,1,3,0,3,2,2,3,2,0,0,2,0,1,1,1,0,0,1,2,1,2,3,2,0,1,2,0,2,1,0,0,0,0,0,0,0,0,2,0,2,1,2,0,0,3,2
CRELD1,0,2,0,0,3,0,3,2,2,0,2,0,3,2,2,0,0,3,0,2,0,0,2,0,0,0,0,0,2,0,0,3,3,3,2,2,0,0,0,3,0,2,1,0,0,1,0,2,0,2,0,2,3,0,2,3,3,3,0,1,2,0,1,0,0,3,3,0,0,3,3,3,0,2,0,0,3,0,2,2,2,2,2,3,2,3,3,3,3,3,2,3,3,3,0,1,2,0,2,2,0,0,2,2,2,2,3,2,2,2,3,1,2,2,0,0,0,2,0,2,0,2,3,2,3,0,2,1,0,3,2
PCOLCE2,0,3,0,0,1,0,1,2,1,0,2,0,3,2,2,0,0,1,0,0,0,0,2,1,0,2,2,0,2,0,0,0,1,0,1,2,0,0,1,2,0,2,2,0,0,0,0,2,0,2,0,2,0,2,2,3,2,2,1,2,3,0,0,0,0,3,3,0,0,2,0,3,2,2,0,2,3,0,2,3,2,3,2,3,1,3,3,2,3,3,2,3,3,2,0,1,1,0,0,2,0,3,1,2,2,2,3,2,0,2,3,1,2,2,0,0,0,2,0,0,0,0,3,2,3,0,1,2,0,3,2
U2SURP,0,3,0,2,2,0,2,2,3,0,3,0,3,2,3,0,0,3,2,2,0,0,3,1,0,2,1,0,2,0,0,3,3,3,2,3,0,0,2,3,0,2,3,2,0,2,2,2,0,3,3,2,3,2,2,3,3,2,2,3,3,0,2,0,3,3,3,0,0,3,2,3,2,3,0,2,3,0,3,2,2,3,2,3,3,3,3,2,3,3,3,3,3,2,0,2,3,2,3,3,0,2,1,2,3,3,3,2,3,3,3,3,2,2,0,0,0,3,0,2,0,3,3,3,3,3,2,2,1,3,3
MTMR14,0,1,0,0,0,0,2,2,0,0,1,0,3,2,3,0,0,1,0,1,0,0,0,2,0,1,1,0,2,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,2,0,0,2,0,2,0,0,3,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,2,3,0,2,0,2,2,2,2,1,1,3,0,3,0,3,3,0,0,0,1,2,0,0,2,0,0,0,2,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0
TTC14,0,1,0,0,1,0,2,2,2,0,2,0,3,1,2,0,0,2,0,1,0,0,2,0,0,1,1,0,2,0,0,1,0,2,0,2,0,0,1,2,0,1,2,0,0,0,0,2,0,0,2,1,2,0,0,3,1,1,0,2,0,0,2,0,2,3,3,0,0,0,0,3,1,0,0,2,3,0,2,0,2,2,2,2,2,2,3,0,3,1,3,3,1,0,0,1,2,1,2,2,0,0,2,2,0,1,3,2,2,0,2,0,2,0,0,0,0,2,0,0,0,1,2,2,2,0,0,0,2,2,2
CXCL5,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,3,3,0,0,0,1,3,0,0,0,0,3,0,0,0,2,0,2,0,0,0,3,0,3,0,3,3,0,1,0,0,0,2,2,0,0,0,0,2,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PPBP,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,3,0,0,0,2,0,2,0,0,1,3,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF4,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,3,0,0,0,2,0,2,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCHY1,0,0,0,0,2,0,3,2,0,0,0,0,3,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,3,1,0,0,1,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,3,0,2,0,2,1,2,2,0,0,3,0,3,0,0,3,1,0,0,0,2,0,1,0,0,1,0,2,0,0,3,2,1,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,2,1
CPA3,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,3,0,1,0,2,0,2,0,0,1,3,0,3,0,0,3,0,2,0,0,1,0,0,0,0,0,2,2,0,1,3,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
GYG1,0,0,0,0,0,0,0,2,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,3,0,0,0,2,0,2,0,0,0,3,0,3,0,2,3,0,1,0,0,3,0,0,0,0,0,0,2,0,0,3,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
HPS3,0,2,0,0,3,0,3,2,3,0,3,0,3,1,3,0,0,3,0,2,0,0,3,0,0,1,1,0,2,0,0,2,3,2,0,2,0,0,1,3,0,3,3,0,0,1,1,2,0,2,2,2,2,2,2,3,2,2,1,3,3,0,1,0,1,3,3,0,0,2,1,3,2,2,0,2,3,0,3,2,2,3,2,3,3,2,3,0,3,2,0,3,3,2,0,1,3,1,2,1,0,3,1,2,2,2,3,2,3,2,3,2,2,2,0,0,0,3,0,1,0,1,3,2,3,3,2,2,1,3,2
TM4SF18,0,2,0,0,0,0,1,2,1,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,1,1,0,1,0,0,3,3,0,0,0,0,3,0,0,0,0,3,0,2,0,2,1,2,1,1,0,3,0,3,0,0,3,0,0,0,0,2,0,0,0,0,1,1,2,0,0,3,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
TOPBP1,0,3,0,0,3,0,3,2,3,0,2,0,3,2,3,0,0,3,3,2,0,0,3,3,0,3,1,0,2,0,0,3,0,3,3,3,0,0,3,3,0,0,3,3,0,3,3,2,0,3,3,3,3,3,3,3,3,3,2,3,3,0,2,0,3,3,3,0,0,3,3,3,3,3,0,3,3,0,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,0,0,3,3,2,3,3,3,2,3,3,3,3,2,3,0,0,0,3,0,3,0,3,3,3,3,3,3,2,3,3,3
RYK,0,0,0,2,2,0,0,2,2,0,2,0,3,1,0,0,0,2,2,0,0,0,2,2,0,0,0,0,2,0,0,1,0,0,2,3,0,0,0,1,0,3,3,2,0,3,2,2,0,0,0,2,0,2,3,3,2,2,0,2,0,0,0,0,0,3,3,0,0,0,3,3,1,0,0,2,3,0,0,3,2,0,2,0,2,0,3,1,3,0,2,3,0,2,0,2,2,1,0,2,0,3,3,2,1,0,3,2,0,2,2,1,2,0,0,0,0,2,0,3,0,0,0,1,0,2,2,2,2,0,0
SNRK,0,2,0,0,0,0,2,2,0,0,1,0,3,2,3,0,0,1,0,1,0,0,1,1,0,2,1,0,2,0,0,2,0,0,0,2,0,0,0,0,0,3,1,0,0,2,0,2,0,1,1,0,2,1,0,3,2,2,1,2,2,0,0,0,1,3,3,0,0,2,0,3,1,0,0,1,3,0,2,1,2,2,2,2,2,1,3,1,3,2,0,3,1,2,0,2,2,0,1,0,0,2,1,2,1,1,3,2,2,1,2,1,2,1,0,0,0,0,0,0,0,1,2,0,2,2,1,0,1,2,1
